insert into client (c_id, cname, regno, premium_pass, gender, email) values (518, 'Elton', '4611725379', 'No', 'M', 'eickovitz0@scribd.com');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (395, 'Nedda', '3669551214', 'No', 'F', 'nsimonnet1@dailymotion.com');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (841, 'Roma', '4738610255', 'Yes', 'M', 'rlyosik2@hostgator.com');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (660, 'Meier', '1976818351', 'No', 'M', 'mshakle3@slideshare.net');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (514, 'Roanne', '7069971163', 'Yes', 'F', 'rfuente4@ucla.edu');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (869, 'Kerrin', '2779603397', 'Yes', 'F', 'ksaltman5@topsy.com');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (504, 'Tiebout', '3819753889', 'Yes', 'M', 'troglieri6@spiegel.de');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (340, 'Sharia', '4284012932', 'No', 'F', 'srainger7@bizjournals.com');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (708, 'Niko', '7684696026', 'Yes', 'M', 'nsandford8@yellowbook.com');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (648, 'Gasper', '6567494507', 'Yes', 'M', 'gsephton9@arizona.edu');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (310, 'Nannette', '4107408926', 'No', 'F', 'ngrinikhinova@patch.com');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (411, 'Jannel', '2205879931', 'No', 'F', 'jtremoilleb@stumbleupon.com');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (360, 'Kellia', '9546271574', 'Yes', 'F', 'kgoric@apache.org');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (740, 'Letisha', '3703661736', 'No', 'F', 'lhoytd@soup.io');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (273, 'Stevy', '8133684552', 'No', 'M', 'scosgrovee@cbsnews.com');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (106, 'Bella', '9681333642', 'No', 'F', 'bhorsellf@utexas.edu');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (138, 'Claudius', '8878389287', 'No', 'M', 'cgaskoing@marriott.com');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (746, 'Ruddie', '5159315691', 'No', 'M', 'rkennonh@marketwatch.com');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (670, 'Abbey', '5812456990', 'No', 'F', 'aextilli@blogger.com');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (962, 'Gill', '9811829813', 'Yes', 'F', 'gepiscopioj@seattletimes.com');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (138, 'Huntlee', '4197613753', 'Yes', 'M', 'hberthodk@printfriendly.com');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (128, 'Yuma', '3215135463', 'Yes', 'M', 'ysantellol@census.gov');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (872, 'Alejoa', '4854319513', 'No', 'M', 'aschiesterlm@digg.com');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (360, 'Jedediah', '7387553157', 'No', 'M', 'jferneyn@tmall.com');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (771, 'Newton', '4008130365', 'Yes', 'M', 'nbizleyo@desdev.cn');
insert into client (c_id, cname, regno, premium_pass, gender, email) values (130, 'Killian', '6928406909', 'Yes', 'M', 'kshowenp@marketwatch.com');
